customer_id,name,sex,state,age,is_married,active_since,event_time
C85,daniel cooley,M,alaska,54,True,2018-03-21 09:03:22,2024-07-14T04:30:41.027Z
C86,christopher gibson,M,south dakota,81,False,2019-01-13 02:25:44,2024-07-14T04:30:41.029Z
C87,shawn powell,M,texas,47,True,2019-05-19 21:23:19,2024-07-14T04:30:41.030Z
C88,sherry glenn,F,tennessee,87,False,2017-10-31 21:24:14,2024-07-14T04:30:41.031Z
C89,michael hunt,M,north dakota,79,False,2019-04-05 14:24:37,2024-07-14T04:30:41.033Z
C90,stephen bradley,M,montana,40,True,2017-05-24 23:34:22,2024-07-14T04:30:41.035Z
C91,mark johnson,M,minnesota,37,False,2017-11-12 13:46:39,2024-07-14T04:30:41.036Z
C92,melissa guerrero,F,kansas,86,True,2018-07-21 08:21:56,2024-07-14T04:30:41.037Z
C93,dylan barnes,M,iowa,74,True,2018-07-22 06:40:34,2024-07-14T04:30:41.039Z
C94,joseph huynh,M,wisconsin,66,True,2018-01-01 11:44:55,2024-07-14T04:30:41.040Z
C95,becky lee,F,nebraska,77,True,2018-10-07 12:55:48,2024-07-14T04:30:41.041Z
C96,angel moody,F,ohio,23,False,2019-04-03 02:12:00,2024-07-14T04:30:41.042Z
C97,jenny perez,F,massachusetts,19,False,2016-01-04 03:36:30,2024-07-14T04:30:41.044Z
C98,benjamin garcia md,M,ohio,35,True,2019-06-13 13:52:19,2024-07-14T04:30:41.045Z
C99,karen harris,F,oklahoma,76,False,2017-07-27 01:28:51,2024-07-14T04:30:41.047Z
C100,tonya thompson,F,washington,42,True,2019-01-07 12:13:22,2024-07-14T04:30:41.048Z
C101,tara price,F,california,20,True,2018-03-08 00:08:59,2024-07-14T04:30:41.049Z
C102,jo thomas,F,maryland,50,True,2018-05-31 09:13:28,2024-07-14T04:30:41.051Z
C103,christopher sellers,M,colorado,63,True,2018-10-30 00:48:55,2024-07-14T04:30:41.052Z
C104,william bryant,M,nevada,52,True,2018-11-16 02:22:49,2024-07-14T04:30:41.053Z
C105,lawrence martinez,M,missouri,73,True,2016-07-29 04:50:52,2024-07-14T04:30:41.055Z
C106,jessica allen,F,california,71,False,2016-05-11 12:17:42,2024-07-14T04:30:41.056Z
C107,wendy douglas,F,michigan,18,False,2018-04-22 22:13:30,2024-07-14T04:30:41.057Z
C108,lauren hernandez,F,virginia,31,True,2017-03-14 07:32:29,2024-07-14T04:30:41.059Z
C109,rebecca craig,F,new york,26,True,2016-12-09 00:58:28,2024-07-14T04:30:41.060Z
C110,danielle cunningham,F,colorado,83,False,2018-09-17 20:06:35,2024-07-14T04:30:41.062Z
C111,robert walsh,M,virginia,63,True,2017-05-13 22:25:11,2024-07-14T04:30:41.064Z
C112,david hansen,M,new york,29,False,2018-09-28 09:48:50,2024-07-14T04:30:41.065Z
C113,jennifer moore,F,rhode island,28,False,2018-07-26 12:34:29,2024-07-14T04:30:41.067Z
C114,diane west,F,north dakota,73,False,2017-04-12 22:05:07,2024-07-14T04:30:41.068Z
C115,elizabeth swanson,F,north dakota,19,True,2016-12-17 17:40:18,2024-07-14T04:30:41.070Z
C116,tina johnson,F,new jersey,86,False,2019-03-27 12:13:50,2024-07-14T04:30:41.071Z
C117,matthew miles,M,kansas,66,True,2017-10-15 13:13:28,2024-07-14T04:30:41.073Z
C118,manuel jones,M,oregon,27,True,2017-08-04 23:41:28,2024-07-14T04:30:41.074Z
C119,virginia wood dvm,F,virginia,87,False,2019-04-20 20:36:52,2024-07-14T04:30:41.075Z
C120,diana king,F,washington,69,False,2017-07-01 11:57:34,2024-07-14T04:30:41.077Z
C121,laura beck,F,louisiana,21,False,2017-01-01 00:32:53,2024-07-14T04:30:41.078Z
C122,christopher steele,M,ohio,59,True,2019-08-05 18:05:20,2024-07-14T04:30:41.080Z
C123,kimberly collins,F,arizona,51,False,2016-12-09 01:50:58,2024-07-14T04:30:41.081Z
C124,john johnson,M,california,78,False,2019-11-11 12:25:09,2024-07-14T04:30:41.082Z
C125,jeffrey alvarado,M,ohio,22,True,2017-09-11 14:12:35,2024-07-14T04:30:41.084Z
C126,stacy smith,F,kentucky,89,True,2016-06-23 15:30:53,2024-07-14T04:30:41.086Z
C127,kimberly chang,F,kentucky,60,True,2019-10-18 07:29:56,2024-07-14T04:30:41.087Z
C128,sara mccullough,F,florida,71,False,2018-12-04 20:01:21,2024-07-14T04:30:41.089Z
C129,katie york,F,kansas,62,True,2016-01-19 21:03:08,2024-07-14T04:30:41.090Z
C130,bobby jensen,M,wisconsin,21,False,2019-11-06 00:16:20,2024-07-14T04:30:41.092Z
C131,jessica roberts,F,michigan,38,False,2017-06-14 23:23:30,2024-07-14T04:30:41.093Z
C132,laura dawson,F,idaho,71,True,2016-11-08 08:21:21,2024-07-14T04:30:41.095Z
C133,mr. robert wang dvm,M,vermont,26,True,2016-09-02 02:23:22,2024-07-14T04:30:41.096Z
C134,kevin gonzalez,M,minnesota,36,True,2017-03-13 04:25:57,2024-07-14T04:30:41.098Z
C135,ethan fernandez,M,kansas,65,False,2019-07-13 15:43:06,2024-07-14T04:30:41.100Z
C136,matthew gibson,M,nevada,48,True,2016-01-12 20:52:56,2024-07-14T04:30:41.101Z
C137,richard young,M,tennessee,28,False,2018-03-21 18:28:15,2024-07-14T04:30:41.102Z
C138,natasha harris,F,kansas,25,True,2019-03-01 23:44:05,2024-07-14T04:30:41.104Z
C139,william howell,M,new jersey,84,True,2019-05-05 12:29:05,2024-07-14T04:30:41.105Z
C140,charles johnson,M,new mexico,67,True,2017-05-04 18:35:18,2024-07-14T04:30:41.107Z
C141,jason coleman,M,delaware,86,True,2019-07-19 15:28:46,2024-07-14T04:30:41.108Z
C142,brian hooper,M,missouri,57,True,2018-05-29 13:29:26,2024-07-14T04:30:41.110Z
C143,katrina sosa,F,illinois,36,True,2017-12-15 19:08:50,2024-07-14T04:30:41.111Z
C144,joseph flowers,M,minnesota,55,True,2018-02-26 02:32:22,2024-07-14T04:30:41.113Z
C145,christopher rivera md,M,alabama,67,False,2017-08-03 15:10:11,2024-07-14T04:30:41.114Z
C146,amy taylor,F,alaska,65,False,2016-10-11 13:48:38,2024-07-14T04:30:41.116Z
C147,douglas ellis,M,washington,34,True,2016-10-01 04:41:58,2024-07-14T04:30:41.117Z
C148,erika edwards,F,maryland,86,True,2016-04-08 20:06:11,2024-07-14T04:30:41.119Z
C149,sheila richard,F,north dakota,61,True,2019-07-19 11:25:01,2024-07-14T04:30:41.120Z
C150,craig sharp,M,vermont,84,False,2018-07-15 18:34:11,2024-07-14T04:30:41.122Z
C151,john montes,M,tennessee,33,False,2016-09-22 20:45:59,2024-07-14T04:30:41.123Z
C152,brian hill,M,pennsylvania,39,False,2019-10-27 03:40:52,2024-07-14T04:30:41.125Z
C153,thomas daniels,M,mississippi,67,False,2019-08-15 05:01:24,2024-07-14T04:30:41.126Z
C154,michael perez,M,alaska,73,False,2016-06-03 22:14:33,2024-07-14T04:30:41.127Z
C155,nichole wise,F,new hampshire,25,True,2019-06-21 15:20:22,2024-07-14T04:30:41.129Z
C156,daniel padilla,M,kansas,35,False,2019-08-18 03:11:34,2024-07-14T04:30:41.131Z
C157,caroline reyes,F,massachusetts,76,True,2017-03-06 04:55:59,2024-07-14T04:30:41.132Z
C158,robert werner,M,vermont,20,False,2019-09-19 05:21:28,2024-07-14T04:30:41.133Z
C159,debra hicks,F,alaska,62,True,2019-02-15 00:46:36,2024-07-14T04:30:41.135Z
C160,brian shaffer,M,south carolina,75,False,2018-02-27 05:23:28,2024-07-14T04:30:41.137Z
C161,curtis rivera,M,georgia,75,False,2018-07-18 10:07:15,2024-07-14T04:30:41.138Z
C162,darlene miller,F,california,56,False,2016-12-13 21:29:12,2024-07-14T04:30:41.140Z
C163,lisa gomez,F,maryland,72,True,2017-08-31 19:14:10,2024-07-14T04:30:41.141Z
C164,shannon woods,M,south dakota,21,False,2018-05-26 19:37:40,2024-07-14T04:30:41.142Z
C165,kurt williams,M,louisiana,38,True,2016-09-11 10:53:53,2024-07-14T04:30:41.144Z
C166,cheryl ramsey,F,south carolina,84,True,2019-01-17 06:49:42,2024-07-14T04:30:41.145Z
C167,kayla martinez,F,nevada,59,True,2019-07-02 14:23:10,2024-07-14T04:30:41.147Z
C168,terri chavez,F,oklahoma,84,False,2018-06-03 11:45:55,2024-07-14T04:30:41.148Z
C169,angela andrade,F,massachusetts,83,False,2019-09-22 09:59:12,2024-07-14T04:30:41.150Z
C170,beth fox,F,texas,89,False,2018-10-15 13:36:07,2024-07-14T04:30:41.151Z
C171,rhonda rodriguez,F,new hampshire,35,True,2018-12-06 10:54:43,2024-07-14T04:30:41.152Z
C172,thomas dunn,M,new hampshire,61,False,2017-05-15 15:10:03,2024-07-14T04:30:41.155Z
C173,richard martin,M,nevada,82,False,2016-10-05 06:05:25,2024-07-14T04:30:41.158Z
C174,karen garcia,F,utah,31,True,2017-04-22 12:04:51,2024-07-14T04:30:41.159Z
C175,christopher smith,M,michigan,87,True,2018-01-09 22:10:16,2024-07-14T04:30:41.160Z
C176,lynn hines,F,hawaii,65,True,2018-12-23 00:19:21,2024-07-14T04:30:41.162Z
C177,taylor jones,F,montana,46,True,2019-12-28 13:30:56,2024-07-14T04:30:41.163Z
C178,bryan jacobson,M,oregon,90,False,2016-01-07 03:56:01,2024-07-14T04:30:41.164Z
C179,lindsay lambert,F,michigan,61,True,2016-05-07 22:49:27,2024-07-14T04:30:41.165Z
C180,joshua branch,M,delaware,29,True,2016-05-06 19:03:25,2024-07-14T04:30:41.167Z
C181,pamela harris,F,south dakota,52,True,2017-11-23 09:00:35,2024-07-14T04:30:41.168Z
C182,laura nelson,F,nevada,82,True,2016-07-29 03:47:29,2024-07-14T04:30:41.169Z
C183,jessica blackwell,F,nevada,49,True,2019-09-12 22:52:42,2024-07-14T04:30:41.171Z
C184,brian gonzalez,M,colorado,44,True,2018-01-18 18:59:47,2024-07-14T04:30:41.172Z
C185,christopher welch,M,new mexico,59,True,2019-06-20 22:03:20,2024-07-14T04:30:41.173Z
C186,nicholas blake,M,south carolina,51,False,2018-08-18 22:46:36,2024-07-14T04:30:41.174Z
C187,cynthia williams,F,mississippi,68,False,2017-11-19 14:55:41,2024-07-14T04:30:41.175Z
C188,glenn baker,M,south dakota,23,True,2016-06-28 23:33:05,2024-07-14T04:30:41.177Z
C189,danielle haas,F,idaho,82,False,2017-05-27 17:29:32,2024-07-14T04:30:41.178Z
C190,courtney green,F,georgia,28,True,2017-08-23 09:07:46,2024-07-14T04:30:41.179Z
C191,joseph bass,M,connecticut,43,False,2018-12-03 14:19:08,2024-07-14T04:30:41.180Z
C192,linda henry,F,pennsylvania,82,True,2018-01-19 08:25:53,2024-07-14T04:30:41.181Z
C193,willie harris,M,california,43,False,2016-10-02 08:28:43,2024-07-14T04:30:41.183Z
C194,joseph tate,M,missouri,20,True,2016-11-01 11:14:28,2024-07-14T04:30:41.184Z
C195,brenda walker,F,delaware,42,False,2019-03-23 12:11:28,2024-07-14T04:30:41.186Z
C196,keith long,M,mississippi,52,True,2016-05-17 00:03:23,2024-07-14T04:30:41.188Z
C197,virginia williams,F,wyoming,90,False,2019-09-03 09:11:03,2024-07-14T04:30:41.189Z
C198,jonathan melton,M,north carolina,47,True,2016-12-23 06:25:09,2024-07-14T04:30:41.190Z
C199,jesse johnson,M,ohio,28,True,2017-04-24 12:40:32,2024-07-14T04:30:41.191Z
C200,luis torres,M,new mexico,58,True,2016-11-04 02:45:43,2024-07-14T04:30:41.192Z
C201,elizabeth davis,F,delaware,28,False,2018-05-27 16:06:51,2024-07-14T04:30:41.193Z
C202,ronald fox,M,new york,61,True,2019-06-26 08:47:35,2024-07-14T04:30:41.195Z
C203,michael ward,M,maine,88,False,2017-08-09 20:40:48,2024-07-14T04:30:41.197Z
C204,steve rivera,M,west virginia,86,False,2018-02-20 03:08:14,2024-07-14T04:30:41.198Z
C205,vicki garcia,F,vermont,35,False,2019-03-19 20:49:28,2024-07-14T04:30:41.200Z
C206,holly burns,F,alabama,86,True,2016-08-28 19:27:09,2024-07-14T04:30:41.201Z
C207,dylan ball,M,maryland,35,True,2019-05-29 17:22:48,2024-07-14T04:30:41.203Z
C208,debra parker,F,louisiana,79,False,2019-10-20 20:33:50,2024-07-14T04:30:41.204Z
C209,kelly contreras,F,kentucky,81,True,2017-08-06 21:41:16,2024-07-14T04:30:41.206Z
C210,john flores,M,kansas,68,True,2017-12-03 12:10:50,2024-07-14T04:30:41.207Z
C211,mary ellis,F,hawaii,21,True,2019-04-03 20:16:05,2024-07-14T04:30:41.209Z
C212,justin williams,M,kentucky,50,False,2019-09-05 14:46:43,2024-07-14T04:30:41.210Z
C213,thomas saunders,M,missouri,91,False,2017-11-04 00:43:25,2024-07-14T04:30:41.212Z
C214,kevin terry,M,wisconsin,80,True,2018-05-22 15:45:33,2024-07-14T04:30:41.213Z
C215,james hunter,M,kansas,61,True,2017-09-24 21:57:37,2024-07-14T04:30:41.215Z
C216,larry butler,M,georgia,68,True,2016-03-25 11:51:56,2024-07-14T04:30:41.216Z
C217,corey clark,M,wyoming,46,False,2019-04-21 14:20:10,2024-07-14T04:30:41.218Z
C218,joanna patel,F,florida,82,False,2016-05-10 23:48:56,2024-07-14T04:30:41.219Z
C219,michael rodriguez,M,rhode island,34,True,2019-04-02 18:43:42,2024-07-14T04:30:41.220Z
C220,russell cameron,M,hawaii,18,False,2017-12-19 03:50:11,2024-07-14T04:30:41.222Z
C221,wayne taylor,M,missouri,81,True,2018-11-14 13:38:45,2024-07-14T04:30:41.223Z
C222,eddie mays,M,iowa,61,False,2016-03-06 16:24:13,2024-07-14T04:30:41.224Z
C223,daniel le,M,idaho,33,False,2016-07-25 21:34:31,2024-07-14T04:30:41.226Z
C224,donna moore,F,iowa,24,True,2019-03-03 06:58:43,2024-07-14T04:30:41.228Z
C225,thomas alvarez,M,kentucky,64,True,2017-12-10 12:24:08,2024-07-14T04:30:41.229Z
C226,renee kirby,F,oregon,76,True,2016-09-19 03:39:59,2024-07-14T04:30:41.230Z
C227,pam cooper,F,maryland,64,True,2019-02-06 03:08:21,2024-07-14T04:30:41.232Z
C228,steven gillespie,M,florida,71,True,2018-01-23 00:58:40,2024-07-14T04:30:41.234Z
C229,michelle bailey,F,arizona,58,False,2019-02-24 16:06:23,2024-07-14T04:30:41.236Z
C230,david kennedy,M,north carolina,63,True,2018-01-12 14:37:32,2024-07-14T04:30:41.237Z
C231,mariah wells,F,new hampshire,45,True,2019-09-29 02:00:24,2024-07-14T04:30:41.238Z
C232,hannah miller,F,alaska,75,False,2016-01-03 03:46:20,2024-07-14T04:30:41.240Z
C233,elizabeth grimes,F,ohio,61,True,2018-02-02 07:35:43,2024-07-14T04:30:41.241Z
C234,andrew macdonald,M,south dakota,42,True,2019-11-06 15:41:29,2024-07-14T04:30:41.243Z
C235,kathleen meyers,F,california,41,False,2019-08-14 06:26:11,2024-07-14T04:30:41.244Z
C236,virginia thomas,F,pennsylvania,66,False,2019-03-15 21:12:03,2024-07-14T04:30:41.246Z
C237,jennifer banks,F,mississippi,25,True,2017-04-15 10:44:33,2024-07-14T04:30:41.247Z
C238,tina miller,F,connecticut,71,False,2018-04-08 23:55:30,2024-07-14T04:30:41.249Z
C239,linda martin,F,illinois,66,True,2017-01-17 09:09:41,2024-07-14T04:30:41.250Z
C240,michael dennis,M,oklahoma,82,True,2018-06-09 06:49:17,2024-07-14T04:30:41.251Z
C241,anthony schroeder,M,michigan,51,False,2019-02-03 00:56:31,2024-07-14T04:30:41.253Z
C242,tammy wilson,F,montana,40,True,2017-05-31 16:36:09,2024-07-14T04:30:41.254Z
C243,gregory miles,M,new mexico,89,False,2019-11-17 12:00:59,2024-07-14T04:30:41.256Z
C244,jessica miller,F,missouri,66,False,2019-02-12 12:13:27,2024-07-14T04:30:41.257Z
C245,michael chambers,M,arkansas,65,True,2017-09-17 22:53:53,2024-07-14T04:30:41.259Z
C246,megan griffin,F,arizona,26,True,2017-10-02 14:05:19,2024-07-14T04:30:41.260Z
C247,bradley mcbride,M,pennsylvania,55,False,2019-12-28 02:24:02,2024-07-14T04:30:41.262Z
C248,jessica sweeney,F,illinois,33,True,2017-01-24 19:18:48,2024-07-14T04:30:41.263Z
C249,dr. todd fleming dds,M,new hampshire,51,True,2019-08-17 02:35:28,2024-07-14T04:30:41.264Z
C250,michael burns,M,new jersey,82,True,2016-06-23 19:08:40,2024-07-14T04:30:41.266Z
C251,brooke ford,F,minnesota,59,False,2018-03-15 15:52:39,2024-07-14T04:30:41.267Z
C252,whitney farrell,F,vermont,25,True,2017-02-04 00:07:21,2024-07-14T04:30:41.269Z
C253,john williams,M,pennsylvania,66,True,2016-04-26 01:51:19,2024-07-14T04:30:41.270Z
C254,christine padilla,F,alaska,24,False,2019-10-08 04:54:26,2024-07-14T04:30:41.272Z
C255,michael smith,M,hawaii,67,False,2018-01-02 23:50:37,2024-07-14T04:30:41.273Z
C256,olivia lowery,F,north dakota,56,True,2016-10-20 04:18:46,2024-07-14T04:30:41.275Z
C257,patricia randall,F,vermont,31,True,2016-01-15 11:40:10,2024-07-14T04:30:41.276Z
C258,sylvia sanchez md,F,south dakota,77,True,2018-03-09 02:52:08,2024-07-14T04:30:41.277Z
C259,henry johnson,M,missouri,91,False,2019-06-20 06:21:06,2024-07-14T04:30:41.279Z
C260,david tran,M,michigan,59,True,2017-12-03 23:10:01,2024-07-14T04:30:41.280Z
C261,jonathan lopez,M,wyoming,49,False,2017-07-30 14:32:11,2024-07-14T04:30:41.281Z
C262,rachel lucas,F,connecticut,75,False,2017-07-31 20:42:06,2024-07-14T04:30:41.283Z
C263,felicia chavez,F,new hampshire,52,True,2019-06-15 14:22:50,2024-07-14T04:30:41.285Z
C264,brett johnston,M,mississippi,74,True,2016-09-09 12:49:48,2024-07-14T04:30:41.287Z
C265,daniel gibson,M,new hampshire,90,True,2019-10-03 03:00:22,2024-07-14T04:30:41.288Z
C266,brenda page,F,utah,91,True,2017-04-01 21:47:02,2024-07-14T04:30:41.290Z
C267,ashley palmer,F,new york,62,False,2016-12-17 21:23:59,2024-07-14T04:30:41.291Z
C268,cassie ray,F,mississippi,49,True,2017-03-30 05:39:45,2024-07-14T04:30:41.292Z
C269,jason martin,M,florida,76,True,2016-09-12 02:02:48,2024-07-14T04:30:41.294Z
C270,mark jordan,M,idaho,82,False,2016-01-05 03:18:21,2024-07-14T04:30:41.296Z
C271,samuel gonzalez,M,nebraska,91,True,2018-12-13 02:38:40,2024-07-14T04:30:41.297Z
C272,danielle smith,F,pennsylvania,53,False,2019-03-15 15:34:32,2024-07-14T04:30:41.299Z
C273,kayla wise,F,georgia,61,True,2016-12-22 20:45:29,2024-07-14T04:30:41.300Z
C274,margaret shelton,F,nebraska,24,False,2019-05-26 22:29:54,2024-07-14T04:30:41.301Z
C275,ashley hernandez,F,new jersey,41,True,2017-02-09 23:48:59,2024-07-14T04:30:41.303Z
C276,antonio walker,M,colorado,33,True,2016-10-18 14:24:23,2024-07-14T04:30:41.304Z
C277,steven taylor,M,new jersey,20,False,2016-10-11 07:03:08,2024-07-14T04:30:41.306Z
C278,joseph cameron,M,new hampshire,72,False,2016-09-01 01:08:35,2024-07-14T04:30:41.307Z
C279,guy wong,M,nebraska,81,False,2019-03-17 09:42:09,2024-07-14T04:30:41.309Z
